Sales_ID,name,year,selling_price,km_driven,State_or_Province,City,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,sold,Region
29,Maruti Wagon R LXI Minor,2009,220000,120000,Georgia,Atlanta,3,1,1,0,18.9,1061,67.0,5,1,2
30,Maruti Omni E MPI STD BS IV,2018,254999,25000,New York,New York City,3,1,1,0,16.8,796,34.2,8,1,1
31,Maruti Vitara Brezza LDi Option,2017,670000,70000,Illinois,Chicago,1,1,1,0,24.3,1248,88.5,5,1,0
33,Maruti Omni 8 Seater BSIV,2012,150000,35000,Illinois,Chicago,3,1,1,2,14.0,796,35.0,5,1,0
34,Hyundai i20 1.2 Asta Dual Tone,2018,730000,2388,Washington,Seattle,3,1,1,0,18.6,1197,81.83,5,1,3
35,Maruti Vitara Brezza LDi,2017,650000,16200,Washington,Seattle,1,1,1,0,24.3,1248,88.5,5,1,3
36,Maruti Alto 800 CNG LXI Optional,2019,330000,10000,Washington,Seattle,0,1,1,2,33.44,796,40.3,4,1,3
37,Maruti Alto K10 VXI Airbag,2019,366000,15000,Washington,Seattle,3,1,1,0,23.95,998,67.1,5,1,3
38,Hyundai Verna VTVT 1.6 SX Option,2019,1149000,5000,District of Columbia,Washington,3,1,1,0,17.0,1591,121.3,5,1,1
39,Datsun GO D,2016,150000,42000,California,Los Angeles,3,1,1,0,20.63,1198,67.0,5,1,3
40,Tata Safari DICOR 2.2 LX 4x2,2011,425000,60000,North Carolina,Charlotte,1,1,1,2,13.93,2179,138.03,7,1,2
41,Maruti 800 Std,2012,150000,76000,California,Los Angeles,3,1,1,0,16.1,796,37.0,4,1,3
42,Jeep Compass 1.4 Limited Plus BSIV,2019,2100000,5000,New York,New York City,3,1,0,0,16.0,1368,160.77,5,1,1
43,Honda City i VTEC VX,2018,925000,28900,New York,New York City,3,0,1,0,17.8,1497,117.3,5,1,1
44,Honda City V MT,2013,425000,86300,New York,New York City,3,0,1,0,16.8,1497,116.3,5,1,1
45,Maruti Swift Dzire VXi AT,2018,675000,23300,New York,New York City,3,0,0,0,18.5,1197,83.14,5,1,1
46,Maruti Vitara Brezza VDi,2018,819999,32600,Illinois,Chicago,1,0,1,0,24.3,1248,88.5,5,1,0
47,Maruti Alto K10 VXI,2018,390000,10300,New York,New York City,3,0,1,0,23.95,998,67.05,5,1,1
48,Toyota Fortuner 4x4 MT,2014,1500000,77000,Washington,Seattle,1,0,1,0,12.55,2982,168.5,7,1,3
49,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,700000,99000,New York,New York City,1,0,1,0,12.99,2494,100.0,7,1,1
50,Mercedes-Benz B Class B180,2014,1450000,27800,New York,New York City,1,0,0,2,14.8,2143,120.7,5,1,1
51,Honda Amaze S Diesel,2015,425000,49800,New York,New York City,1,0,1,0,24.7,1498,98.63,5,1,1
52,Mitsubishi Pajero Sport 4X4,2013,1090000,151000,Washington,Seattle,1,0,1,0,13.5,2477,175.56,7,1,3
53,Honda City i DTEC S,2015,600000,54700,California,Los Angeles,1,0,1,0,26.0,1498,98.6,5,1,3
54,Maruti Ciaz Zeta,2018,850000,64000,New York,New York City,3,0,1,0,20.65,1462,103.25,5,1,1
55,Honda Jazz VX Diesel,2015,525000,63000,Georgia,Atlanta,1,0,1,0,27.3,1498,98.6,5,1,2
56,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1650000,127700,Massachusetts,Boston,1,0,0,2,11.36,2755,171.5,7,1,1
57,Toyota Innova 2.5 G (Diesel) 7 Seater,2016,950000,99000,Georgia,Atlanta,1,0,1,0,12.99,2494,100.6,7,1,2
58,Audi A6 2.0 TDI Technology,2013,1750000,33900,Georgia,Atlanta,1,0,0,2,17.68,1968,174.33,5,1,2
59,Toyota Corolla Altis 1.8 VL CVT,2018,1590000,25000,Florida,Miami,3,0,0,0,14.28,1798,138.03,5,1,2
60,Audi A6 2.0 TDI  Design Edition,2013,1689999,50000,Massachusetts,Boston,1,0,0,0,18.53,1968,187.74,5,1,1
61,Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,Massachusetts,Boston,1,0,0,0,14.84,2143,170.0,5,1,1
62,Tata Manza ELAN Quadrajet BS IV,2011,265000,120000,Pennsylvania,Philadelphia,1,1,1,0,21.12,1248,88.8,5,1,1
63,Hyundai i10 Magna,2011,190000,110000,California,San Diego,3,1,1,4,20.36,1197,78.9,5,1,3
64,Hyundai i20 Asta 1.4 CRDi,2013,425000,60000,California,San Francisco,1,1,1,0,21.27,1396,88.76,5,1,3
65,Maruti Swift Dzire ZDI,2015,630000,147000,California,San Francisco,1,1,1,2,26.59,1248,74.0,5,1,3
66,Ford Figo 1.2P Titanium MT,2017,600000,25000,District of Columbia,Washington,3,1,1,4,18.16,1196,86.8,5,1,1
67,Maruti Baleno Delta 1.2,2019,650000,30000,New York,New York City,3,1,1,0,21.4,1197,83.1,5,1,1
68,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,540000,40000,District of Columbia,Washington,1,1,1,0,22.0,1498,108.495,5,1,1
69,Honda City i DTEC VX,2015,630000,135000,District of Columbia,Washington,1,1,1,0,25.1,1498,98.6,5,1,1
70,Maruti Wagon R AMT VXI,2018,448000,30000,District of Columbia,Washington,3,1,0,0,20.51,998,67.0,5,1,1
71,Volkswagen Ameo 1.5 TDI Comfortline,2017,500000,80000,Illinois,Chicago,1,1,1,0,21.66,1498,108.62,5,1,0
72,Maruti Vitara Brezza VDi,2016,745000,70000,Massachusetts,Boston,1,1,1,0,24.3,1248,88.5,5,1,1
73,Maruti Vitara Brezza ZDi Plus AMT,2019,1025000,9850,Massachusetts,Boston,1,1,0,0,24.3,1248,88.5,5,1,1
74,Hyundai i10 Magna,2011,235000,60000,New York,New York City,3,1,1,2,20.36,1197,78.9,5,1,1
75,Maruti Swift VDI Deca,2016,630000,70000,California,Los Angeles,1,1,1,0,25.2,1248,74.0,5,1,3
76,Toyota Fortuner 4x4 MT,2015,1700000,78000,California,Los Angeles,1,1,1,2,12.55,2982,168.5,7,1,3
77,Maruti Swift Star VDI,2013,450000,120000,Texas,Dallas,1,1,1,2,22.9,1248,74.0,5,1,0
78,Maruti Ertiga ZXI,2012,450000,120000,Florida,Miami,3,1,1,2,16.02,1373,93.7,7,1,2
80,Volkswagen Vento Diesel Highline,2013,450000,170000,North Carolina,Charlotte,1,1,1,0,20.54,1598,103.6,5,1,2
81,Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,1200000,140000,New York,New York City,1,1,1,0,12.99,2494,100.6,8,1,1
82,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,610000,90000,Illinois,Chicago,1,1,1,0,22.77,1498,98.59,5,1,0
83,BMW X1 sDrive20i xLine,2016,2500000,30000,Illinois,Chicago,3,1,0,2,15.71,1998,189.0,5,1,0
84,Maruti Celerio ZXI MT BSIV,2017,484999,10000,Florida,Miami,3,0,1,0,23.1,998,67.04,5,1,2
85,Datsun GO A Petrol,2016,275000,49000,Florida,Miami,3,0,1,0,19.02,1198,67.05,5,1,2
86,Maruti Alto 800 VXI BSIV,2016,315000,32000,Florida,Miami,3,0,1,0,24.7,796,47.3,5,1,2
87,Maruti Alto 800 LXI BSIV,2016,275000,38000,New York,New York City,3,0,1,0,24.7,796,47.3,5,1,1
89,Hyundai i10 Era 1.1,2012,290000,28000,Florida,Miami,3,0,1,0,19.81,1086,68.05,5,1,2
90,Maruti Omni 8 Seater BSIV,2017,280000,32000,Michigan,Detroit,3,0,1,0,14.0,796,35.0,5,1,0
91,Maruti Wagon R LXI LPG BSIV,2010,225000,44000,Michigan,Detroit,2,0,1,0,26.2,998,58.2,5,1,0
92,Volkswagen Polo 1.2 MPI Comfortline,2015,455000,42000,North Carolina,Charlotte,3,0,1,0,16.47,1198,74.0,5,1,2
93,Hyundai i10 Magna 1.1L,2015,351000,45000,North Carolina,Charlotte,3,0,1,2,19.81,1086,68.05,5,1,2
94,Volkswagen Vento Petrol Highline,2012,535000,12000,Pennsylvania,Philadelphia,3,0,1,2,15.04,1598,103.6,5,1,1
95,Maruti Zen Estilo LXI BSIII,2009,175000,55500,Pennsylvania,Philadelphia,3,0,1,0,18.2,998,67.1,5,1,1
96,Hyundai i20 Asta Optional with Sunroof 1.2,2013,525000,61500,Pennsylvania,Philadelphia,3,0,1,0,18.5,1197,82.85,5,1,1
97,Maruti Swift Dzire LDI,2016,600000,150000,Massachusetts,Boston,1,1,1,0,26.59,1248,74.0,5,1,1
98,Hyundai Xcent 1.2 Kappa SX Option AT,2016,565000,72000,Georgia,Atlanta,3,0,0,0,19.1,1197,82.0,5,1,2
99,Maruti Alto LX BSIII,2008,120000,68000,California,Los Angeles,3,0,1,4,19.7,796,46.3,5,1,3
100,Hyundai i20 1.4 Asta Option,2017,725000,110000,California,Los Angeles,1,1,1,0,22.54,1396,88.73,5,1,3
101,Maruti Wagon R VXI,2009,185000,77000,District of Columbia,Washington,3,0,1,2,21.79,998,67.05,5,1,1
102,Tata Manza Aura (ABS) Quadrajet,2010,200000,100000,District of Columbia,Washington,1,1,1,2,18.8,1248,90.0,5,1,1
103,Maruti Swift VXI,2019,615000,10000,District of Columbia,Washington,3,1,1,0,21.21,1197,81.8,5,1,1
104,Maruti Eeco 7 Seater Standard BSIV,2016,270000,100000,Pennsylvania,Philadelphia,3,1,1,4,15.37,1196,73.0,7,1,1
105,Maruti Baleno Zeta 1.2,2018,610000,35000,Pennsylvania,Philadelphia,3,1,1,0,21.4,1197,83.1,5,1,1
106,Mahindra Scorpio VLX AT AIRBAG BSIV,2014,625000,70000,Pennsylvania,Philadelphia,1,1,0,2,11.79,2179,120.0,8,1,1
107,Ford Freestyle Titanium Petrol BSIV,2020,400000,5000,Texas,Houston,3,1,1,2,19.0,1194,94.68,5,1,0
108,Hyundai Verna VTVT 1.6 SX,2017,866000,37800,New York,New York City,3,1,1,0,17.0,1591,121.3,5,1,1
109,Volkswagen Passat 1.8 TSI MT,2010,700000,114000,California,Los Angeles,3,1,1,0,14.3,1798,160.0,5,1,3
110,Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,300000,48000,Illinois,Chicago,3,1,1,0,15.8,1172,65.0,5,1,0
111,Mahindra XUV500 W11 Option AWD,2019,1700000,32000,New York,New York City,1,1,1,0,15.1,2179,155.0,7,1,1
112,Tata Indigo CS LS (TDI) BS-III,2016,375000,100000,New York,New York City,1,1,1,0,19.09,1405,69.01,5,1,1
113,Hyundai Verna 1.6 SX,2013,522000,150000,New York,New York City,1,1,1,2,22.32,1582,126.32,5,1,1
114,Hyundai i20 Magna 1.4 CRDi (Diesel),2013,451999,69000,New York,New York City,1,1,1,0,21.9,1396,88.76,5,1,1
115,Toyota Corolla Altis G,2009,300000,100000,New York,New York City,3,1,1,2,14.53,1798,138.1,5,1,1
116,Maruti Celerio VXI,2020,475000,13000,New York,New York City,3,1,1,0,21.63,998,67.04,5,1,1
117,Maruti Vitara Brezza ZDi Plus Dual Tone,2016,780000,60000,California,Los Angeles,1,1,1,0,24.3,1248,88.5,5,1,3
118,Maruti Swift Dzire VXI,2017,595000,40000,California,Los Angeles,3,1,1,0,20.85,1197,83.14,5,1,3
119,Maruti Wagon R VXI BS IV,2017,440000,35000,California,Los Angeles,3,1,1,0,20.51,998,67.04,5,1,3
121,Nissan Terrano XL 85 PS,2014,400000,70000,District of Columbia,Washington,1,1,1,4,20.45,1461,83.8,5,1,1
122,Hyundai Creta 1.6 CRDi SX,2016,1140000,50000,Pennsylvania,Philadelphia,1,1,1,0,19.67,1582,126.2,5,1,1
123,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,850000,76139,New York,New York City,1,1,1,0,23.0,1498,98.96,5,1,1
124,Maruti Swift Dzire VDi,2012,370000,175000,North Carolina,Charlotte,1,1,1,1,19.3,1248,73.9,5,1,2
125,Renault KWID 1.0,2018,350000,25000,Massachusetts,Boston,3,1,1,0,23.01,999,67.0,5,1,1
126,Maruti Celerio VXI,2015,360000,40000,Massachusetts,Boston,3,1,1,2,23.1,998,67.04,5,1,1
127,Maruti Alto LXi,2008,105000,65000,Massachusetts,Boston,3,1,1,1,19.7,796,46.3,5,1,1
128,Maruti Ertiga VDI,2013,625000,90000,California,San Francisco,1,1,1,2,20.77,1248,88.76,7,1,3
129,Hyundai Santro Xing GLS,2009,135000,80000,Washington,Seattle,3,1,1,2,17.92,1086,62.1,5,1,3
130,Maruti Ertiga VDI,2015,700000,110000,District of Columbia,Washington,1,1,1,2,20.77,1248,88.76,7,1,1
131,Honda Amaze S i-VTEC,2019,690000,1303,District of Columbia,Washington,3,0,1,0,17.8,1198,86.7,5,1,1
132,Audi Q5 35TDI Premium Plus,2018,3975000,31800,Washington,Seattle,1,0,0,0,17.01,1968,188.0,5,1,3
133,Lexus ES 300h,2019,5150000,20000,Washington,Seattle,3,0,0,0,22.37,2487,214.56,5,1,3
134,Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000,New York,New York City,1,0,0,0,19.33,1999,177.0,5,1,1
135,Jeep Wrangler 2016-2019 3.6 4X4,2017,4100000,17000,California,Los Angeles,3,1,0,0,9.5,3604,280.0,5,1,3
136,Land Rover Discovery Sport TD4 SE,2019,4500000,21000,California,Los Angeles,1,0,0,0,12.83,1999,148.31,7,1,3
137,Mercedes-Benz S-Class S 350 CDI,2017,6000000,37000,California,Los Angeles,1,0,0,0,13.5,2987,254.79,5,1,3
138,BMW 5 Series 520d Sport Line,2018,3790000,29500,California,Los Angeles,1,0,0,0,22.48,1995,187.74,5,1,3
140,BMW X4 M Sport X xDrive20d,2019,5800000,7500,New York,New York City,1,0,0,0,16.78,1995,190.0,5,1,1
141,Skoda Superb LK 1.8 TSI AT,2018,1864999,50000,California,San Diego,3,0,0,0,14.67,1798,177.46,5,1,3
142,Mercedes-Benz E-Class E250 Edition E,2016,2700000,35000,California,San Diego,1,0,0,0,15.0,2143,204.0,5,1,3
143,MG Hector Sharp AT BSIV,2019,1750000,19000,California,San Diego,3,0,0,0,13.96,1451,141.0,5,1,3
144,Honda City i-VTEC CVT VX,2017,795000,41000,Washington,Seattle,3,0,0,0,18.0,1497,117.6,5,1,3
145,Toyota Corolla Altis 1.8 G CVT,2013,625000,39000,District of Columbia,Washington,3,0,0,0,14.28,1798,138.03,5,1,1
146,Volvo XC40 D4 R-Design,2018,3400000,22000,District of Columbia,Washington,1,0,0,0,18.0,1969,190.0,5,1,1
147,Audi Q7 35 TDI Quattro Premium,2015,2650000,53000,California,Los Angeles,1,0,0,0,12.07,2967,241.4,7,1,3
148,Maruti Ciaz ZDi,2015,535000,40000,California,Los Angeles,1,0,1,0,26.21,1248,88.5,5,1,3
149,Mercedes-Benz S-Class S 350 CDI,2017,5850000,47000,California,Los Angeles,1,0,0,0,13.5,2987,282.0,5,1,3
150,BMW 5 Series 523i,2010,975000,72200,District of Columbia,Washington,3,0,0,2,10.8,2497,150.0,5,1,1
151,Hyundai Elantra S,2016,805000,49900,District of Columbia,Washington,3,0,1,0,16.3,1797,147.5,5,1,1
152,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2625000,9000,New York,New York City,1,0,0,0,13.6,1999,177.0,5,1,1
153,Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,811000,11000,New York,New York City,3,0,1,0,17.0,1198,108.5,5,1,1
154,Volkswagen Vento Petrol Highline,2011,375000,49000,District of Columbia,Washington,3,1,1,0,15.04,1598,103.6,5,1,1
155,Hyundai Elantra SX,2012,550000,95000,New York,New York City,3,1,1,0,16.3,1797,147.5,5,1,1
156,Skoda Rapid 1.6 MPI AT Elegance,2016,645000,11000,Massachusetts,Boston,3,0,0,0,14.3,1598,103.5,5,1,1
157,Mercedes-Benz CLA 200 CGI Sport,2018,2550000,18000,Illinois,Chicago,3,0,0,0,15.04,1991,183.0,5,1,0
158,Maruti Ertiga ZXI,2014,599000,46100,Texas,Houston,3,0,1,0,16.02,1373,93.7,7,1,0
159,Mercedes-Benz New C-Class C 200 AVANTGARDE,2017,2700000,16000,Massachusetts,Boston,3,0,0,0,14.74,1991,181.04,5,1,1
160,Honda City V AT,2017,875000,18000,Massachusetts,Boston,3,0,0,0,15.6,1497,116.3,5,1,1
161,Toyota Glanza V CVT,2019,894999,9654,Massachusetts,Boston,3,0,0,0,19.56,1197,81.8,5,1,1
162,Maruti Alto K10 VXI,2011,175000,11000,North Carolina,Charlotte,3,0,1,0,23.95,998,67.05,5,1,2
163,Maruti Swift VXI,2012,340000,24300,Washington,Seattle,3,0,1,0,21.21,1197,81.8,5,1,3
164,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1525000,42163,Washington,Seattle,1,0,0,2,11.36,2755,171.5,7,1,3
165,Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,1025000,8000,New York,New York City,1,0,0,0,21.5,1497,108.5,5,1,1
166,BMW 3 Series 320d Luxury Line,2016,2150000,30000,Florida,Miami,1,0,0,0,22.69,1995,190.0,5,1,2
167,Toyota Camry 2.5 Hybrid,2016,1900000,41000,New York,New York City,3,0,0,0,19.16,2494,157.7,5,1,1
168,BMW 5 Series 520d Luxury Line,2016,2900000,12000,District of Columbia,Washington,1,0,0,0,18.12,1995,190.0,5,1,1
169,Toyota Camry W4 (AT),2009,450000,71000,New York,New York City,3,0,0,0,12.1,2362,164.7,5,1,1
170,Maruti Ertiga BSIV ZXI Plus,2016,850000,20000,California,Los Angeles,3,1,1,0,17.5,1373,91.1,7,1,3
171,Volvo XC90 T8 Excellence BSIV,2017,10000000,30000,New York,New York City,3,1,0,0,42.0,1969,400.0,4,1,1
172,Volkswagen Vento Diesel Highline,2011,300000,100000,North Carolina,Charlotte,1,1,1,2,20.54,1598,103.6,5,1,2
173,Ford Figo Aspire 1.2 Ti-VCT Trend,2018,575000,9500,Texas,Houston,3,1,1,0,18.16,1196,86.8,5,1,0
174,Ford Figo Diesel LXI,2011,160000,120000,Texas,Houston,1,1,1,0,20.0,1399,68.0,5,1,0
175,Maruti Swift VXI Optional,2015,515000,36600,Texas,Houston,3,1,1,0,20.4,1197,81.8,5,1,0
176,Maruti Wagon R AMT VXI,2015,390000,50000,District of Columbia,Washington,3,1,0,2,20.51,998,67.0,5,1,1
177,Hyundai i20 Magna 1.2,2016,550000,14000,Washington,Seattle,3,1,1,2,18.6,1197,81.83,5,1,3
178,Maruti 800 Std,1999,40000,40000,District of Columbia,Washington,3,1,1,2,16.1,796,37.0,4,1,1
179,Maruti Ritz VDi,2010,220000,120000,District of Columbia,Washington,1,1,1,0,21.1,1248,73.9,5,1,1
180,Hyundai Grand i10 Magna,2015,425000,70000,New York,New York City,3,1,1,0,18.9,1197,82.0,5,1,1
181,Volkswagen Ameo 1.0 MPI Trendline,2019,480000,13000,New York,New York City,3,1,1,0,19.44,999,75.0,5,1,1
182,Hyundai Grand i10 Sportz,2014,400000,60000,Texas,Dallas,3,1,1,2,18.9,1197,82.0,5,1,0
183,Maruti Swift Dzire VXI,2014,487000,35000,Florida,Miami,3,1,1,0,19.1,1197,85.8,5,1,2
184,Hyundai Xcent 1.2 Kappa S,2016,386000,44000,Pennsylvania,Philadelphia,3,1,1,2,19.1,1197,82.0,5,1,1
185,Honda City 1.5 EXI,2005,100000,120000,Pennsylvania,Philadelphia,3,1,1,2,13.0,1493,100.0,5,1,1
186,Toyota Corolla Altis Diesel D4DG,2010,300000,60000,California,Los Angeles,1,1,1,0,21.43,1364,87.2,5,1,3
187,Daewoo Matiz SD,2000,100000,60000,Massachusetts,Boston,3,1,1,0,18.5,796,53.0,5,1,1
188,Toyota Fortuner 4x2 Manual,2014,1750000,30000,Massachusetts,Boston,1,1,1,2,13.0,2982,168.5,7,1,1
189,Mahindra KUV 100 mFALCON G80 K8,2016,450000,15000,California,Los Angeles,3,1,1,2,18.15,1198,82.0,6,1,3
190,Tata Zest Quadrajet 1.3 75PS XM,2017,490000,90000,California,Los Angeles,1,1,1,0,22.95,1248,74.0,5,1,3
191,Honda City 1.5 S MT,2009,345000,47000,California,Los Angeles,3,1,1,2,17.0,1497,118.0,5,1,3
192,Maruti Zen LXI,2005,85000,90000,Georgia,Atlanta,3,1,1,0,17.3,993,60.0,5,1,2
193,Maruti Wagon R VXI BS IV with ABS,2010,215000,120600,Washington,Seattle,3,1,1,2,18.9,998,67.1,5,1,3
194,Hyundai Verna Transform SX VTVT,2010,320000,100000,Illinois,Chicago,3,1,1,4,16.2,1599,103.2,5,1,0
195,Maruti Swift Dzire VXI,2016,459999,60000,Georgia,Atlanta,3,1,1,2,20.85,1197,83.14,5,1,2
196,Hyundai Getz GLS,2005,65000,86000,Georgia,Atlanta,3,1,1,0,15.3,1341,83.0,5,1,2
197,Hyundai Elite i20 Sportz Plus BSIV,2020,720000,5000,Georgia,Atlanta,3,1,1,0,18.6,1197,81.86,5,1,2
198,Maruti Ciaz 1.3 Alpha,2017,800000,37000,California,Los Angeles,1,1,1,0,28.09,1248,88.5,5,1,3
199,Tata Tigor 1.2 Revotron XZ,2019,520000,14000,Pennsylvania,Philadelphia,3,1,1,0,20.3,1199,84.0,5,1,1
200,Maruti Ertiga VDI,2015,580000,70000,California,San Francisco,1,1,1,0,20.77,1248,88.76,7,1,3
202,Honda City i VTEC S,2015,600000,50000,California,Los Angeles,3,1,1,0,17.4,1497,117.3,5,1,3
203,Honda Brio S MT,2014,290000,60000,California,Los Angeles,3,1,1,2,19.4,1198,86.8,5,1,3
204,Maruti Wagon R LXI CNG,2016,360000,50000,Illinois,Chicago,0,1,1,0,26.6,998,58.16,5,1,0
205,Maruti Swift Dzire VXI,2017,550000,50000,Illinois,Chicago,3,1,1,0,20.85,1197,83.14,5,1,0
206,Hyundai i20 Sportz 1.2,2013,375000,70000,Massachusetts,Boston,3,1,1,0,18.5,1197,82.85,5,1,1
208,Maruti Wagon R AMT VXI,2018,420000,35000,Texas,Houston,3,1,0,0,20.51,998,67.0,5,1,0
209,Maruti Swift Dzire VXI 1.2,2017,550000,20000,Texas,Houston,3,1,1,0,21.21,1197,81.8,5,1,0
210,Maruti Alto 800 LXI,2018,270000,20000,Massachusetts,Boston,3,1,1,0,24.7,796,47.3,5,1,1
211,Maruti Swift Dzire AMT VXI BS IV,2018,700000,7800,Illinois,Chicago,3,1,0,0,22.0,1197,81.8,5,1,0
212,Maruti Swift VXI Optional,2017,500000,20000,Illinois,Chicago,3,1,1,0,20.4,1197,81.8,5,1,0
213,Tata Hexa XE,2019,1250000,15000,Texas,Dallas,1,1,1,0,17.6,2179,147.94,7,1,0
214,Hyundai i20 Magna,2013,320000,31377,Georgia,Atlanta,3,1,1,2,18.5,1197,82.85,5,1,2
215,Maruti Swift Dzire VDI,2018,700000,50000,Illinois,Chicago,1,1,1,0,28.4,1248,74.02,5,1,0
216,Maruti Wagon R VXI BS IV,2015,290000,60000,Washington,Seattle,3,1,1,0,20.51,998,67.04,5,1,3
217,Toyota Corolla Altis 1.8 VL AT,2012,550000,100000,Michigan,Detroit,3,1,0,0,14.53,1794,138.1,5,1,0
218,Honda Brio S MT,2012,265000,60000,Massachusetts,Boston,3,1,1,0,19.4,1198,86.8,5,1,1
219,Maruti Baleno Alpha Automatic,2018,830000,5000,Massachusetts,Boston,3,1,0,0,21.4,1197,83.1,5,1,1
220,Tata Safari Storme EX,2017,800000,60000,Georgia,Atlanta,1,1,1,0,14.1,2179,147.94,7,1,2
221,Maruti Alto LXi,2011,160000,25000,New York,New York City,3,1,1,2,19.7,796,46.3,5,1,1
222,Renault KWID RXT,2018,335000,30000,Georgia,Atlanta,3,1,1,0,25.17,799,53.3,5,1,2
223,Datsun GO T BSIV,2017,329000,80000,Georgia,Atlanta,3,1,1,2,20.63,1198,67.0,5,1,2
224,Maruti Vitara Brezza VDi Option,2017,775000,75000,Pennsylvania,Philadelphia,1,1,1,0,24.3,1248,88.5,5,1,1
225,Hyundai Xcent 1.2 VTVT SX,2020,524000,32000,Georgia,Atlanta,3,1,1,0,20.14,1197,81.86,5,1,2
226,Maruti Alto 800 LXI,2015,245000,40000,Massachusetts,Boston,3,1,1,0,22.74,796,47.3,5,1,1
227,Hyundai i20 1.2 Sportz,2012,275000,93000,Washington,Seattle,3,1,1,2,17.0,1197,80.0,5,1,3
228,Tata Zest Revotron 1.2 XT,2018,520000,60000,Washington,Seattle,3,1,1,0,17.57,1193,88.7,5,1,3
